count,versions,keysPercent,insertLs,insertTPs,rangeSearch1SkipListLns,rangeSearch1MerkleLns,rangeSearch3SkipListLms,rangeSearch3MerkleLms,rangeSearch4SkipListLms,rangeSearch4MerkleLms
200000,100,0.3,1.3852768,144375.4778828318,0.0,0.0,1.0158,0.0,3.0417,0.0
200000,100,0.3,1.3858132,144319.5951662172,1005000.0,0.0,0.0,0.0,2.9998,0.0
200000,100,0.3,1.3741622,145543.22626542923,0.0,0.0,1.0005,0.0,3.0019,0.0
200000,100,0.3,1.2429067,160913.12405026058,0.0,0.0,0.981,0.0,1.9997,0.0
200000,100,0.3,1.3061421,153122.6962211845,1000000.0,0.0,0.0,0.0,2.9999,0.0
200000,100,0.3,1.4387709,139007.53761422337,1028500.0,0.0,0.0,0.0,2.9843,0.0
200000,100,0.3,1.2569582,159114.28080901975,0.0,0.0,1.029,0.0,2.9716,0.0
200000,100,0.3,1.3477965,148390.3541818071,948000.0,0.0,0.949,0.0,2.5087,0.0
200000,100,0.4,1.3130868,152312.8554791656,0.0,0.0,0.9984,0.0,3.0006,0.0
200000,100,0.4,1.3056943,153175.21107352615,976600.0,0.0,0.9767,0.0,3.0379,0.0
200000,100,0.4,1.2544001,159438.76279984353,1502500.0,0.0,1.0044,0.0,3.0187,0.0
200000,100,0.4,1.327627,150644.7217479006,0.0,0.0,1.1641,0.0,3.0028,0.0
200000,100,0.4,1.271054,157349.7270768984,0.0,0.0,0.9994,0.0,3.0005,0.0
200000,100,0.4,1.3685617,146138.82589290637,0.0,0.0,1.0036,0.0,3.0003,0.0
200000,100,0.4,1.2834731,155827.18484711522,942300.0,0.0,1.0002,0.0,4.0198,0.0
200000,100,0.4,1.3990627,142952.8497900773,0.0,0.0,1.0007,0.0,2.5081,0.0
200000,100,0.4,1.3568617,147398.95746191376,982200.0,0.0,1.0188,0.0,2.5083,0.0
200000,100,0.4,1.5111147,132352.62683898184,0.0,0.0,0.9974,0.0,2.9787,0.0
200000,100,0.5,1.5429267,129623.78575728841,1003600.0,0.0,0.9997,0.0,2.9992,0.0
200000,100,0.5,1.39372,143500.84665499526,0.0,0.0,2.0033,0.0,3.709,0.0
200000,100,0.5,1.3872929,144165.66249275836,0.0,0.0,1.9976,0.0,2.9039,0.0
200000,100,0.5,1.4206745,140778.20077716606,0.0,0.0,1.0,0.0,3.6244,0.0
200000,100,0.5,1.3743606,145522.21593081177,0.0,0.0,1.9137,0.0,4.5026,0.0
200000,100,0.5,1.3332682,150007.32785796587,0.0,0.0,1.7656,0.0,4.9615,0.0
200000,100,0.5,1.3815713,144762.7060579501,0.0,0.0,2.1016,0.0,3.0072,0.0
200000,100,0.5,1.4011684,142738.01778572798,0.0,0.0,2.0064,0.0,2.7241,0.0
200000,100,0.5,1.5452383,129429.87499080239,999200.0,0.0,1.0,0.0,3.9998,0.0
200000,100,0.5,1.3881656,144075.0296650486,998900.0,0.0,1.5014,0.0,3.006,0.0
200000,1000,0.1,0.9979633,200408.1713225326,0.0,0.0,0.0,0.0,2.8542,0.0
200000,1000,0.1,1.091087,183303.43959739234,0.0,0.0,0.0,0.0,1.0081,0.0
200000,1000,0.1,1.1162056,179178.4595956157,1045200.0,0.0,0.0,0.0,1.0324,0.0
200000,1000,0.1,1.1281705,177278.16850378556,0.0,0.0,0.0,0.0,0.9867,0.0
200000,1000,0.1,1.0186949,196329.63706797783,0.0,0.0,0.0,0.0,1.0058,0.0
200000,1000,0.1,1.0719908,186568.7653289562,0.0,0.0,0.0,0.0,1.0262,0.0
200000,1000,0.1,1.1074273,180598.76255533888,0.0,0.0,0.0,0.0,0.0,0.0
200000,1000,0.1,1.1201778,178543.08485670757,0.0,0.0,0.0,0.0,0.0,0.0
200000,1000,0.1,1.0554926,189484.98549397694,0.0,0.0,0.0,0.0,1.0039,0.0
200000,1000,0.1,1.0637009,188022.77971185322,0.0,0.0,0.0,0.0,0.0,0.0
